# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
1.9953e+00 1.9655e+00 3.4000e+01 7.8480e-03 5.5483e-03 2.3133e-03 2.8372e-03 4.3405e-03 2.6445e-03 1.4272e-03 2.0421e-04 1.3003e-03 2.2689e-05
2.2387e+00 2.1628e+00 3.3000e+01 8.6992e-03 6.6378e-03 4.9547e-03 5.1131e-03 2.3292e-03 4.6142e-03 3.4495e-04 3.1856e-03 9.8736e-04 7.8743e-04
2.2387e+00 2.2879e+00 3.3000e+01 1.1728e-02 9.4954e-03 8.7323e-03 6.9896e-03 3.5407e-03 5.8883e-03 1.0699e-03 4.1165e-03 1.1129e-03 9.2693e-04
2.2387e+00 2.2378e+00 3.3000e+01 8.2332e-03 6.4949e-03 1.3069e-03 1.0538e-03 2.4981e-03 4.5447e-03 8.6114e-04 1.7389e-03 8.0119e-04 5.9032e-04
2.2387e+00 2.3120e+00 3.3000e+01 1.2830e-02 1.0785e-02 1.0725e-02 8.3278e-03 3.4534e-03 2.9820e-03 2.8062e-03 1.6050e-03 1.3934e-03 8.7483e-04
2.2387e+00 2.2520e+00 3.3000e+01 1.5420e-02 1.4512e-02 1.3170e-02 1.2643e-02 4.6700e-03 3.2900e-03 4.9325e-03 2.7109e-03 2.0827e-03 2.4315e-04
2.2387e+00 2.1612e+00 3.3000e+01 1.1014e-02 6.9333e-03 8.3613e-03 5.6393e-03 4.2176e-03 3.4441e-03 2.1140e-03 1.9107e-03 1.1280e-03 4.5092e-04
2.2387e+00 2.2673e+00 3.3000e+01 1.1599e-02 5.0952e-03 1.7679e-03 1.3708e-04 2.6594e-03 2.7110e-03 6.7215e-04 1.5155e-03 6.4480e-04 4.2198e-04
2.2387e+00 2.2666e+00 3.3000e+01 1.3701e-02 1.2032e-02 2.2083e-03 8.7058e-03 4.6564e-03 4.7404e-03 2.5064e-03 2.8424e-03 2.1645e-03 4.4862e-04
2.2387e+00 2.2999e+00 3.3000e+01 1.3793e-02 1.4548e-02 1.1317e-02 1.2893e-02 4.8920e-03 2.7857e-03 1.3118e-03 2.0328e-03 1.1807e-03 5.5844e-04
2.2387e+00 2.1641e+00 3.3000e+01 1.0885e-02 6.3717e-03 6.7326e-03 5.2805e-03 4.1003e-03 3.3576e-03 2.3622e-03 2.6181e-03 5.9478e-04 2.0722e-04
2.5119e+00 2.5347e+00 3.2000e+01 2.2917e-02 1.5935e-02 2.0082e-02 1.4784e-02 3.7834e-03 4.2369e-03 2.2277e-03 2.3869e-03 1.0039e-04 2.9754e-04
2.5119e+00 2.5543e+00 3.2000e+01 1.2784e-02 1.0668e-02 8.9830e-03 9.2132e-03 4.6127e-03 3.1904e-03 1.1549e-03 1.9458e-03 1.7909e-03 4.2473e-04
2.5119e+00 2.5186e+00 3.2000e+01 1.3148e-02 9.4907e-03 7.5457e-03 6.6760e-03 3.6625e-03 3.7719e-03 1.2068e-03 2.9219e-03 7.0444e-04 1.5019e-03
2.5119e+00 2.5069e+00 3.2000e+01 8.8363e-03 8.2636e-03 5.1095e-03 1.0588e-03 4.4453e-03 4.3857e-03 2.9213e-03 3.7443e-03 1.1738e-03 4.6280e-04
2.5119e+00 2.4798e+00 3.2000e+01 1.3700e-02 1.6358e-02 8.1432e-03 1.4334e-02 4.3359e-03 3.4429e-03 1.2405e-03 1.3144e-03 1.1859e-04 4.1811e-04
2.5119e+00 2.5070e+00 3.2000e+01 1.4695e-02 1.4598e-02 9.8718e-03 1.1960e-02 3.2829e-03 4.0014e-03 2.9691e-04 1.3271e-03 5.7075e-04 1.7531e-04
2.5119e+00 2.4949e+00 3.2000e+01 1.1564e-02 1.0084e-02 2.9612e-03 8.1217e-03 5.7603e-03 3.6455e-03 4.3761e-03 1.9740e-03 2.6337e-03 5.9500e-04
2.5119e+00 2.5390e+00 3.2000e+01 1.5604e-02 1.9598e-02 1.2030e-02 1.7725e-02 4.6817e-03 3.9404e-03 7.4054e-04 3.0948e-03 5.8240e-04 2.0436e-03
2.5119e+00 2.4350e+00 3.2000e+01 1.7175e-02 1.8212e-02 1.4966e-02 1.6854e-02 5.7326e-03 5.1782e-03 3.2894e-03 4.3509e-03 2.7079e-03 1.9624e-04
