noise_th noise noise_db xNN vNN  xNN+SR vNN+SR xNN+sym vNN+sym xNN+sym+SR vNN+sym+SR xparam vparam
1.00000000 1.00298323 40.00000000 0.00206715 0.00119591 0.00146406 0.00119591 0.00088211 0.00068336 0.00075016 0.00063919 0.00039068 0.00019602
1.00000000 1.00298323 40.00000000 0.00253052 0.00170449 0.00065017 0.00170449 0.00183174 0.00143626 0.00170630 0.00136665 0.00062275 0.00055843
1.00000000 1.00298323 40.00000000 0.00283556 0.00161687 0.00057808 0.00161687 0.00152016 0.00146155 0.00150088 0.00144825 0.00038159 0.00037712
1.00000000 1.00298323 40.00000000 0.00281586 0.00220146 0.00092207 0.00220146 0.00153152 0.00090063 0.00176753 0.00105979 0.00030537 0.00021751
1.00000000 1.00298323 40.00000000 0.00147663 0.00158046 0.00100666 0.00158046 0.00095243 0.00095238 0.00080142 0.00093343 0.00025135 0.00030854
1.00000000 1.00298323 40.00000000 0.00207297 0.00203743 0.00080816 0.00203743 0.00122542 0.00119485 0.00118112 0.00114936 0.00018146 0.00022535
1.00000000 1.00298323 40.00000000 0.00200804 0.00114291 0.00134274 0.00114291 0.00223638 0.00106691 0.00212116 0.00112894 0.00071130 0.00041739
1.00000000 1.00298323 40.00000000 0.00282735 0.00170769 0.00094351 0.00170769 0.00139001 0.00060257 0.00125413 0.00073575 0.00036170 0.00025914
1.00000000 0.98322146 40.00000000 0.00456784 0.00320552 0.00244357 0.00320552 0.00254759 0.00128238 0.00137461 0.00073161 0.00071246 0.00036265
1.00000000 0.98322146 40.00000000 0.00362631 0.00298869 0.00290590 0.00298869 0.00257363 0.00118186 0.00101904 0.00073944 0.00117348 0.00061802
1.00000000 0.98322146 40.00000000 0.00393683 0.00291002 0.00359260 0.00291002 0.00148737 0.00140692 0.00177946 0.00161494 0.00208107 0.00174864
1.00000000 0.98322146 40.00000000 0.00306718 0.00238876 0.00244885 0.00238876 0.00131682 0.00117094 0.00060769 0.00058149 0.00126191 0.00098475
1.00000000 0.98322146 40.00000000 0.00357912 0.00263986 0.00269008 0.00263986 0.00279977 0.00093458 0.00201185 0.00101996 0.00048934 0.00028078
1.00000000 0.98322146 40.00000000 0.00352755 0.00315352 0.00298435 0.00315352 0.00242474 0.00124046 0.00108044 0.00077819 0.00090751 0.00045236
1.00000000 0.98322146 40.00000000 0.00337559 0.00267854 0.00330390 0.00267854 0.00154436 0.00110627 0.00116219 0.00085539 0.00179589 0.00112108
1.00000000 0.98322146 40.00000000 0.00363375 0.00283644 0.00336004 0.00283644 0.00138302 0.00123710 0.00128136 0.00114052 0.00192062 0.00148222
1.00000000 0.98322146 40.00000000 0.00367465 0.00255405 0.00401970 0.00255405 0.00137407 0.00127098 0.00125140 0.00104390 0.00172920 0.00116382
1.00000000 0.98322146 40.00000000 0.00325978 0.00196340 0.00284575 0.00196340 0.00235571 0.00117512 0.00118712 0.00098732 0.00107393 0.00063248
1.12201845 1.13059524 39.00000000 0.00217677 0.00259827 0.00239829 0.00259827 0.00304117 0.00117465 0.00294646 0.00089048 0.00171454 0.00158791
1.12201845 1.13059524 39.00000000 0.00263435 0.00252843 0.00242440 0.00252843 0.00345573 0.00136233 0.00304100 0.00120466 0.00174247 0.00127089
1.12201845 1.13059524 39.00000000 0.00212381 0.00196252 0.00254052 0.00196252 0.00338728 0.00132670 0.00292088 0.00081418 0.00135137 0.00085946
1.12201845 1.13059524 39.00000000 0.00239116 0.00229137 0.00324115 0.00229137 0.00241999 0.00074809 0.00287703 0.00087467 0.00145564 0.00138279
1.12201845 1.13059524 39.00000000 0.00356623 0.00301463 0.00317880 0.00301463 0.00254528 0.00065279 0.00295607 0.00089560 0.00174088 0.00149698
1.12201845 1.13059524 39.00000000 0.00253302 0.00119075 0.00197064 0.00119075 0.00335815 0.00086447 0.00239630 0.00067943 0.00078104 0.00053525
1.12201845 1.13059524 39.00000000 0.00377799 0.00249395 0.00231808 0.00249395 0.00336216 0.00099965 0.00337807 0.00088608 0.00089175 0.00061011
1.12201845 1.13059524 39.00000000 0.00181099 0.00209456 0.00233173 0.00209456 0.00350212 0.00129236 0.00283872 0.00072963 0.00106324 0.00083091
1.12201845 1.13059524 39.00000000 0.00209924 0.00201633 0.00253171 0.00201633 0.00308748 0.00103440 0.00302602 0.00080655 0.00172326 0.00133114
1.12201845 1.13059524 39.00000000 0.00343396 0.00167201 0.00210529 0.00167201 0.00339653 0.00115836 0.00306725 0.00072533 0.00111995 0.00071836
1.12201845 1.15596790 39.00000000 0.00255214 0.00222806 0.00414303 0.00222806 0.00206417 0.00141364 0.00167791 0.00130942 0.00229163 0.00158422
1.12201845 1.15596790 39.00000000 0.00706863 0.00297933 0.00455285 0.00297933 0.00306165 0.00148380 0.00270943 0.00132788 0.00095441 0.00053464
1.12201845 1.15596790 39.00000000 0.00535850 0.00314244 0.00492929 0.00314244 0.00306886 0.00214087 0.00212816 0.00161545 0.00205840 0.00151333
1.12201845 1.15596790 39.00000000 0.00502215 0.00296072 0.00490102 0.00296072 0.00219560 0.00155616 0.00177188 0.00142499 0.00203781 0.00141007
1.12201845 1.15596790 39.00000000 0.00644172 0.00341040 0.00475322 0.00341040 0.00304858 0.00270169 0.00246309 0.00218064 0.00142943 0.00127295
1.12201845 1.15596790 39.00000000 0.00778964 0.00358658 0.00435415 0.00358658 0.00309529 0.00164058 0.00211124 0.00122595 0.00114578 0.00061577
1.12201845 1.15596790 39.00000000 0.00348406 0.00176400 0.00383572 0.00176400 0.00220327 0.00116065 0.00133365 0.00105086 0.00114331 0.00063031
1.12201845 1.15596790 39.00000000 0.00427610 0.00304614 0.00512755 0.00304614 0.00257230 0.00196343 0.00181605 0.00158037 0.00284624 0.00236848
1.12201845 1.15596790 39.00000000 0.00801752 0.00333211 0.00465003 0.00333211 0.00333918 0.00168227 0.00245021 0.00128072 0.00121491 0.00068219
1.12201845 1.15596790 39.00000000 0.00429798 0.00240170 0.00378404 0.00240170 0.00142383 0.00111659 0.00224002 0.00121501 0.00040799 0.00022093
1.12201845 1.10966935 39.00000000 0.00462197 0.00265379 0.00196891 0.00265379 0.00081727 0.00096609 0.00052102 0.00064288 0.00035289 0.00037578
1.12201845 1.10966935 39.00000000 0.00455999 0.00175238 0.00255898 0.00175238 0.00078319 0.00083094 0.00050074 0.00052619 0.00027897 0.00025608
1.12201845 1.10966935 39.00000000 0.00503590 0.00306981 0.00202838 0.00306981 0.00128986 0.00099258 0.00080037 0.00065459 0.00041653 0.00035056
1.12201845 1.10966935 39.00000000 0.00556000 0.00199440 0.00240504 0.00199440 0.00259840 0.00115272 0.00103112 0.00043723 0.00017381 0.00014327
1.12201845 1.10966935 39.00000000 0.00561292 0.00239949 0.00226415 0.00239949 0.00152619 0.00097329 0.00129308 0.00077946 0.00053550 0.00040429
1.12201845 1.10966935 39.00000000 0.00617591 0.00258765 0.00256959 0.00258765 0.00151731 0.00109805 0.00093527 0.00071226 0.00031837 0.00025815
1.12201845 1.10966935 39.00000000 0.00517064 0.00238600 0.00246366 0.00238600 0.00095458 0.00104905 0.00049744 0.00058850 0.00019394 0.00020067
1.12201845 1.10966935 39.00000000 0.00538384 0.00170605 0.00231433 0.00170605 0.00176653 0.00081634 0.00127830 0.00048933 0.00032967 0.00020701
1.12201845 1.10966935 39.00000000 0.00518047 0.00295813 0.00188059 0.00295813 0.00121082 0.00095902 0.00089387 0.00064369 0.00045426 0.00035049
1.12201845 1.10966935 39.00000000 0.00524649 0.00210677 0.00229720 0.00210677 0.00109414 0.00086258 0.00082076 0.00055970 0.00028166 0.00025170
1.12201845 1.08159871 39.00000000 0.00303539 0.00296407 0.00381761 0.00296407 0.00128011 0.00121473 0.00129836 0.00081083 0.00093422 0.00060275
1.12201845 1.08159871 39.00000000 0.00560974 0.00257108 0.00386496 0.00257108 0.00361163 0.00163817 0.00171956 0.00082070 0.00038994 0.00022603
1.12201845 1.08159871 39.00000000 0.00514265 0.00263471 0.00419659 0.00263471 0.00390167 0.00193061 0.00195581 0.00099117 0.00107936 0.00069774
1.12201845 1.08159871 39.00000000 0.00355165 0.00213701 0.00538941 0.00213701 0.00314732 0.00151170 0.00142164 0.00079533 0.00065199 0.00039356
1.12201845 1.08159871 39.00000000 0.00404719 0.00217962 0.00395532 0.00217962 0.00232768 0.00116147 0.00152138 0.00087277 0.00071692 0.00046020
1.12201845 1.08159871 39.00000000 0.00640342 0.00360874 0.00423166 0.00360874 0.00353666 0.00199748 0.00197334 0.00115023 0.00090838 0.00059035
1.12201845 1.08159871 39.00000000 0.00214292 0.00176672 0.00381801 0.00176672 0.00183709 0.00144198 0.00085547 0.00082459 0.00099654 0.00075709
