# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
1.5849e+00 1.5849e+00 3.6000e+01 5.2668e-02 6.4801e-02 3.3075e-02 5.6414e-02 2.8052e-02 4.7169e-02 1.7056e-02 4.2004e-02 2.6521e-03 4.1106e-02
1.7783e+00 1.7783e+00 3.5000e+01 4.4381e-02 5.7400e-02 2.5181e-02 2.2893e-02 2.4296e-02 5.0368e-02 9.3128e-03 4.7835e-02 4.6579e-03 3.3263e-02
1.7783e+00 1.7783e+00 3.5000e+01 4.7506e-02 5.7963e-02 3.1981e-02 3.6088e-02 2.2230e-02 4.6066e-02 9.3414e-05 3.6524e-02 1.8902e-03 3.4991e-02
1.7783e+00 1.7783e+00 3.5000e+01 4.2769e-02 6.6273e-02 3.6776e-02 5.6509e-02 1.0982e-02 5.3263e-02 7.4301e-03 4.4806e-02 2.1565e-03 4.0233e-02
1.7783e+00 1.7783e+00 3.5000e+01 3.7526e-02 5.7227e-02 1.7189e-02 4.4604e-02 1.9856e-02 4.8993e-02 1.3751e-02 4.5563e-02 1.4714e-03 3.9914e-02
1.7783e+00 1.7783e+00 3.5000e+01 3.9435e-02 5.8923e-02 3.7446e-02 4.4845e-02 3.0339e-02 5.0897e-02 2.7425e-02 3.6990e-02 3.3223e-03 3.5458e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.9569e-02 5.4111e-02 4.1701e-06 4.3121e-02 2.0091e-02 5.0124e-02 4.9705e-04 4.7528e-02 1.0254e-03 3.9553e-02
1.7783e+00 1.7783e+00 3.5000e+01 3.9279e-02 5.0749e-02 2.4106e-02 4.0150e-02 2.8226e-02 4.7665e-02 1.1136e-03 4.6598e-02 1.0580e-03 4.1640e-02
1.7783e+00 1.7783e+00 3.5000e+01 4.8740e-02 6.4187e-02 4.2399e-02 5.7122e-02 1.6189e-02 4.5498e-02 1.0895e-02 4.0885e-02 2.6932e-03 3.9494e-02
1.7783e+00 1.7783e+00 3.5000e+01 3.7453e-02 5.3064e-02 2.1702e-02 4.2412e-02 2.0844e-02 4.7706e-02 2.9682e-03 4.1496e-02 1.3062e-03 3.9536e-02
1.7783e+00 1.7783e+00 3.5000e+01 4.2256e-02 5.5173e-02 1.6544e-02 4.3806e-02 2.8423e-02 5.0579e-02 1.6662e-03 4.7326e-02 1.5842e-03 4.2563e-02
1.9953e+00 1.9953e+00 3.4000e+01 4.1900e-02 5.4867e-02 3.0093e-02 4.7604e-02 3.1342e-02 4.9423e-02 2.5046e-02 3.7897e-02 2.1970e-03 3.5319e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.5863e-02 5.8041e-02 5.9109e-04 4.8225e-02 1.8052e-02 5.0478e-02 1.2319e-02 3.8272e-02 5.8645e-04 3.3869e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.9748e-02 5.4043e-02 1.3975e-02 4.5026e-02 2.9408e-02 4.6676e-02 1.3383e-02 4.4566e-02 3.3736e-03 3.2300e-02
1.9953e+00 1.9953e+00 3.4000e+01 2.7941e-02 4.8959e-02 2.5490e-03 4.3726e-02 1.6505e-02 4.6856e-02 1.1803e-03 4.4975e-02 2.9882e-04 3.8436e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.2317e-02 5.1410e-02 1.9544e-02 3.5605e-02 1.8028e-02 4.8778e-02 3.6148e-04 3.8728e-02 2.7582e-04 3.8612e-02
