# noise_perc_th noise_perc SNR_dB SINDy_f1 SINDy_f2 Poly_f1 Poly_f2 Param_f1 Param_f2
2.2387e+00 2.2215e+00 3.3000e+01 2.0221e-01 7.9233e-02 1.9600e-01 7.7368e-02 3.9634e-04 6.4051e-04
2.2387e+00 2.2285e+00 3.3000e+01 2.0312e-01 8.1512e-02 1.9742e-01 8.0429e-02 1.9842e-03 3.2791e-04
2.2387e+00 2.2766e+00 3.3000e+01 2.0334e-01 8.0704e-02 1.9900e-01 8.3465e-02 6.8978e-04 5.6021e-04
2.2387e+00 2.1893e+00 3.3000e+01 2.0311e-01 8.2278e-02 1.9767e-01 8.1073e-02 5.0618e-04 4.1332e-04
2.5119e+00 2.5140e+00 3.2000e+01 2.0242e-01 8.0020e-02 1.9702e-01 8.0604e-02 1.3732e-03 1.7860e-04
2.5119e+00 2.4998e+00 3.2000e+01 2.0297e-01 8.1695e-02 1.9668e-01 8.0079e-02 1.3296e-03 2.0861e-04
2.5119e+00 2.4977e+00 3.2000e+01 2.0287e-01 8.2229e-02 1.9757e-01 8.2819e-02 6.1791e-04 1.1828e-03
2.5119e+00 2.5480e+00 3.2000e+01 2.0433e-01 8.5050e-02 1.9923e-01 8.3633e-02 7.5154e-04 3.5113e-04
2.5119e+00 2.5051e+00 3.2000e+01 2.0320e-01 8.4474e-02 1.9814e-01 8.4347e-02 1.4856e-03 4.8369e-05
2.5119e+00 2.4994e+00 3.2000e+01 2.0327e-01 8.4906e-02 1.9744e-01 8.1368e-02 9.6385e-04 4.7197e-04
2.5119e+00 2.5157e+00 3.2000e+01 2.0199e-01 8.0864e-02 1.9566e-01 7.7011e-02 1.5395e-03 1.8755e-04
2.5119e+00 2.5312e+00 3.2000e+01 2.0167e-01 7.9074e-02 1.9538e-01 7.6850e-02 1.2070e-03 1.5251e-03
2.5119e+00 2.5106e+00 3.2000e+01 2.0343e-01 8.0445e-02 1.9816e-01 7.9295e-02 3.1040e-03 1.1840e-03
2.5119e+00 2.5764e+00 3.2000e+01 2.0124e-01 7.9149e-02 1.9485e-01 7.6208e-02 3.1527e-03 1.7590e-03
2.8184e+00 2.8589e+00 3.1000e+01 2.0279e-01 8.1856e-02 1.9684e-01 7.8837e-02 3.6711e-03 4.6233e-04
2.8184e+00 2.8525e+00 3.1000e+01 2.0240e-01 8.0629e-02 1.9675e-01 7.9947e-02 1.5128e-03 1.8059e-03
2.8184e+00 2.8101e+00 3.1000e+01 2.0161e-01 7.5824e-02 1.9592e-01 7.4584e-02 6.2338e-04 1.0103e-03
2.8184e+00 2.7601e+00 3.1000e+01 2.0340e-01 8.5785e-02 1.9851e-01 8.6289e-02 1.3307e-03 9.1214e-04
2.8184e+00 2.7671e+00 3.1000e+01 2.0386e-01 8.4904e-02 1.9897e-01 8.4405e-02 9.1823e-04 1.4407e-03
2.8184e+00 2.7574e+00 3.1000e+01 2.0320e-01 8.2731e-02 1.9740e-01 8.0222e-02 2.3020e-03 1.3318e-04
2.8184e+00 2.7376e+00 3.1000e+01 2.0249e-01 8.0712e-02 1.9887e-01 8.2467e-02 3.3564e-03 9.2217e-04
2.8184e+00 2.9138e+00 3.1000e+01 2.0257e-01 8.2061e-02 1.9751e-01 8.3432e-02 7.8960e-04 1.0234e-03
2.8184e+00 2.7599e+00 3.1000e+01 2.0248e-01 8.0975e-02 1.9665e-01 7.9863e-02 6.9884e-04 1.2672e-03
2.8184e+00 2.7564e+00 3.1000e+01 2.0314e-01 8.4062e-02 1.9886e-01 8.4555e-02 5.7931e-04 6.8368e-04
3.1623e+00 3.3518e+00 3.0000e+01 2.0204e-01 7.8309e-02 1.9731e-01 7.9201e-02 3.0045e-03 2.4989e-05
3.1623e+00 3.1782e+00 3.0000e+01 2.0298e-01 7.9306e-02 1.9650e-01 7.5999e-02 2.2523e-03 6.6114e-04
3.1623e+00 3.1798e+00 3.0000e+01 2.0198e-01 7.8156e-02 1.9636e-01 7.7307e-02 1.3272e-03 4.3902e-04
3.1623e+00 3.1721e+00 3.0000e+01 2.0384e-01 8.1928e-02 2.0089e-01 8.7068e-02 3.2098e-03 1.7861e-03
3.1623e+00 3.0906e+00 3.0000e+01 2.0416e-01 8.5768e-02 1.9819e-01 8.3243e-02 2.1573e-03 4.2194e-04
3.1623e+00 3.1633e+00 3.0000e+01 2.0297e-01 8.2521e-02 1.9786e-01 8.1747e-02 6.7174e-04 1.3182e-03
3.1623e+00 3.0821e+00 3.0000e+01 2.0420e-01 8.2186e-02 1.9796e-01 8.1212e-02 2.1901e-03 1.0734e-03
3.1623e+00 3.2352e+00 3.0000e+01 2.0234e-01 8.2010e-02 1.9726e-01 8.1771e-02 4.3652e-04 1.1998e-04
3.1623e+00 3.0600e+00 3.0000e+01 2.0349e-01 8.2542e-02 1.9899e-01 8.3534e-02 8.0489e-04 2.9696e-04
3.1623e+00 3.1363e+00 3.0000e+01 2.0341e-01 8.3646e-02 1.9930e-01 8.5287e-02 8.1845e-04 1.1151e-03
3.5481e+00 3.5362e+00 2.9000e+01 2.0158e-01 8.0294e-02 1.9489e-01 7.9488e-02 3.6455e-04 3.6418e-04
3.5481e+00 3.4986e+00 2.9000e+01 2.0189e-01 7.9877e-02 1.9568e-01 7.7216e-02 1.9346e-03 6.0057e-04
3.5481e+00 3.5885e+00 2.9000e+01 2.0403e-01 8.1807e-02 1.9998e-01 8.3479e-02 2.1842e-03 2.0701e-03
3.5481e+00 3.5350e+00 2.9000e+01 2.0153e-01 7.6081e-02 1.9672e-01 7.7645e-02 2.2939e-03 8.5449e-04
3.5481e+00 3.6629e+00 2.9000e+01 2.0330e-01 8.3634e-02 1.9827e-01 8.3639e-02 2.2348e-03 1.0880e-03
3.5481e+00 3.6681e+00 2.9000e+01 2.0397e-01 8.6952e-02 1.9870e-01 8.6410e-02 1.9808e-03 8.7711e-05
3.5481e+00 3.4392e+00 2.9000e+01 2.0454e-01 8.6367e-02 1.9912e-01 8.5331e-02 1.8292e-03 6.3386e-04
3.5481e+00 3.5817e+00 2.9000e+01 2.0223e-01 7.8056e-02 1.9560e-01 7.4191e-02 2.0268e-03 2.1415e-03
3.5481e+00 3.5163e+00 2.9000e+01 2.0370e-01 8.2940e-02 1.9801e-01 8.1834e-02 9.9708e-04 3.6948e-04
3.5481e+00 3.5591e+00 2.9000e+01 2.0233e-01 7.8504e-02 1.9625e-01 7.7167e-02 1.8974e-03 1.1557e-03
3.9811e+00 4.0765e+00 2.8000e+01 2.0173e-01 8.0075e-02 1.9568e-01 7.7277e-02 1.2208e-03 1.1342e-03
3.9811e+00 3.9056e+00 2.8000e+01 2.0370e-01 8.6415e-02 1.9948e-01 8.6772e-02 5.2915e-03 1.0087e-03
3.9811e+00 3.9872e+00 2.8000e+01 2.0425e-01 8.2498e-02 1.9951e-01 8.0665e-02 9.8713e-04 7.4331e-04
3.9811e+00 3.9848e+00 2.8000e+01 2.0280e-01 8.0218e-02 1.9548e-01 7.6224e-02 2.6434e-03 2.8738e-04
3.9811e+00 3.9427e+00 2.8000e+01 2.0152e-01 7.9929e-02 1.9583e-01 8.0060e-02 2.1097e-03 1.6173e-03
3.9811e+00 3.9137e+00 2.8000e+01 2.0295e-01 8.0484e-02 1.9833e-01 8.2141e-02 1.7403e-03 4.6212e-04
3.9811e+00 3.8614e+00 2.8000e+01 2.0208e-01 7.9997e-02 1.9671e-01 7.9713e-02 2.9757e-03 1.6757e-03
3.9811e+00 3.9891e+00 2.8000e+01 2.0252e-01 8.1182e-02 1.9845e-01 8.3174e-02 2.6606e-03 1.6078e-03
3.9811e+00 4.0445e+00 2.8000e+01 2.0289e-01 8.4759e-02 1.9769e-01 8.2720e-02 5.5801e-03 1.9892e-04
3.9811e+00 4.2125e+00 2.8000e+01 2.0348e-01 8.6456e-02 1.9777e-01 8.2452e-02 1.7101e-03 1.0929e-03
4.4668e+00 4.4793e+00 2.7000e+01 2.0169e-01 7.9107e-02 1.9688e-01 7.8835e-02 2.1198e-03 8.9932e-04
4.4668e+00 4.3394e+00 2.7000e+01 2.0290e-01 8.2526e-02 1.9679e-01 8.0689e-02 2.0028e-03 9.7046e-04
4.4668e+00 4.4596e+00 2.7000e+01 2.0330e-01 8.3774e-02 2.0034e-01 8.8119e-02 2.0979e-03 1.0334e-03
4.4668e+00 4.3780e+00 2.7000e+01 2.0262e-01 8.3154e-02 1.9731e-01 8.4876e-02 5.3505e-03 1.4372e-03
4.4668e+00 4.3894e+00 2.7000e+01 2.0336e-01 8.3305e-02 1.9828e-01 8.1452e-02 2.6621e-03 2.1432e-04
4.4668e+00 4.2340e+00 2.7000e+01 2.0300e-01 8.1975e-02 1.9808e-01 8.1213e-02 3.7175e-03 6.8916e-04
4.4668e+00 4.4413e+00 2.7000e+01 2.0367e-01 7.7796e-02 1.9978e-01 8.2004e-02 1.4802e-03 1.8263e-03
4.4668e+00 4.3581e+00 2.7000e+01 2.0368e-01 8.2760e-02 1.9849e-01 8.2135e-02 1.6419e-03 1.7394e-03
4.4668e+00 4.5305e+00 2.7000e+01 2.0149e-01 7.3881e-02 1.9508e-01 7.0822e-02 3.1963e-03 5.6085e-04
4.4668e+00 4.4622e+00 2.7000e+01 2.0282e-01 8.4904e-02 1.9857e-01 8.3743e-02 3.9595e-03 1.1005e-03
5.0119e+00 4.9231e+00 2.6000e+01 2.0115e-01 7.9261e-02 1.9815e-01 8.1086e-02 4.5860e-03 5.9005e-04
5.0119e+00 4.9543e+00 2.6000e+01 2.0073e-01 7.5160e-02 1.9364e-01 7.2786e-02 4.5980e-03 1.3500e-03
5.0119e+00 5.1028e+00 2.6000e+01 2.0267e-01 7.9744e-02 1.9649e-01 7.7355e-02 1.9905e-03 9.3606e-04
5.0119e+00 5.1372e+00 2.6000e+01 2.0388e-01 8.7750e-02 2.0197e-01 9.4810e-02 1.9307e-03 2.1611e-03
5.0119e+00 4.9521e+00 2.6000e+01 2.0307e-01 8.1328e-02 2.0131e-01 8.8824e-02 4.4988e-03 8.2304e-04
5.0119e+00 4.8680e+00 2.6000e+01 2.0403e-01 8.5835e-02 1.9960e-01 8.5042e-02 9.8787e-04 3.1317e-03
5.0119e+00 4.8206e+00 2.6000e+01 2.0392e-01 8.1747e-02 1.9768e-01 7.7755e-02 3.4762e-03 1.6310e-04
5.0119e+00 5.1308e+00 2.6000e+01 2.0334e-01 8.3383e-02 1.9879e-01 8.3966e-02 9.4346e-04 4.1753e-04
5.0119e+00 4.9793e+00 2.6000e+01 2.0207e-01 8.1501e-02 1.9674e-01 8.2974e-02 4.4992e-03 3.4057e-03
5.0119e+00 4.9527e+00 2.6000e+01 2.0181e-01 8.1291e-02 1.9534e-01 8.0191e-02 4.4970e-03 2.3130e-05
5.0119e+00 4.9556e+00 2.6000e+01 2.0525e-01 8.9367e-02 1.9945e-01 8.5779e-02 1.5737e-03 2.2057e-03
5.0119e+00 4.8744e+00 2.6000e+01 2.0440e-01 8.0504e-02 1.9877e-01 8.2520e-02 1.1646e-03 2.8237e-03
5.0119e+00 5.0294e+00 2.6000e+01 2.0499e-01 8.4744e-02 1.9966e-01 8.6110e-02 3.6943e-03 1.2878e-04
5.0119e+00 4.9600e+00 2.6000e+01 2.0214e-01 8.4348e-02 1.9630e-01 8.4198e-02 5.3325e-03 2.0265e-03
5.6234e+00 5.6744e+00 2.5000e+01 2.0089e-01 7.8514e-02 1.9579e-01 8.0858e-02 3.8792e-03 4.6830e-04
5.6234e+00 5.8073e+00 2.5000e+01 2.0443e-01 8.3647e-02 1.9901e-01 8.0479e-02 6.4914e-03 1.1450e-03
5.6234e+00 5.5676e+00 2.5000e+01 2.0335e-01 8.0774e-02 1.9765e-01 7.9295e-02 1.9651e-03 1.0585e-03
5.6234e+00 5.4208e+00 2.5000e+01 2.0400e-01 8.5610e-02 2.0071e-01 8.9838e-02 2.8835e-03 1.4931e-04
5.6234e+00 5.5854e+00 2.5000e+01 2.0077e-01 7.9190e-02 1.9643e-01 8.0360e-02 2.0015e-03 1.9176e-04
5.6234e+00 5.4567e+00 2.5000e+01 2.0271e-01 7.9235e-02 1.9751e-01 7.9731e-02 5.3064e-03 4.6820e-04
5.6234e+00 5.6265e+00 2.5000e+01 2.0149e-01 7.8359e-02 1.9525e-01 7.4203e-02 7.9993e-03 1.8114e-03
5.6234e+00 5.5179e+00 2.5000e+01 2.0466e-01 8.7836e-02 1.9733e-01 8.3345e-02 4.2648e-03 8.1346e-04
5.6234e+00 5.6780e+00 2.5000e+01 2.0374e-01 8.3057e-02 2.0029e-01 8.4256e-02 4.5132e-03 7.3251e-04
5.6234e+00 5.6280e+00 2.5000e+01 2.0171e-01 7.5407e-02 1.9945e-01 8.7425e-02 2.9446e-03 1.6352e-03
