#noise_th noise noise_db x_Sindy xdot_Sindy x_Sindy_ku0 xdot_Sindy_ku0 x_LS xdot_LS x_param xdot_param
1.00000000 0.98818751 40.00000000 0.25335192 0.19172772 0.34140938 0.23826567 0.27140592 0.19967446 0.00158831 0.00116873
1.00000000 0.98818751 40.00000000 0.11888757 0.09501778 0.21556432 0.11604802 0.13894347 0.09752520 0.00057227 0.00032013
1.00000000 0.98818751 40.00000000 0.10937305 0.07540379 0.16026860 0.07542272 0.09735987 0.07411805 0.00055803 0.00027683
1.00000000 0.98818751 40.00000000 0.12871394 0.10248284 0.21643704 0.15639389 0.14780010 0.10711863 0.00096495 0.00058114
1.00000000 0.98818751 40.00000000 0.22851075 0.22052249 0.29417985 0.27384485 0.24799850 0.23802334 0.00163866 0.00148354
1.00000000 0.98818751 40.00000000 0.08161025 0.08317553 0.09946888 0.10401790 0.08768509 0.09108459 0.00088806 0.00083699
1.00000000 0.98818751 40.00000000 0.29176194 0.21953632 0.22929764 0.19016317 0.31224353 0.23079563 0.00158794 0.00121396
1.00000000 0.98878085 40.00000000 0.20541400 0.13624060 0.32370442 0.17422196 0.22906340 0.14017008 0.00083011 0.00047173
1.00000000 0.98878085 40.00000000 0.12204941 0.10219954 0.21689823 0.15572495 0.14621812 0.10638916 0.00062788 0.00033895
1.00000000 0.98878085 40.00000000 0.16932363 0.13192292 0.25146756 0.18390244 0.18964525 0.14281705 0.00074378 0.00052215
1.00000000 0.98878085 40.00000000 0.21029596 0.14566262 0.28851355 0.18053826 0.23501505 0.15521820 0.00028970 0.00018840
1.00000000 0.98878085 40.00000000 0.22383528 0.14811305 0.32852268 0.19966672 0.16770051 0.13125313 0.00067490 0.00037729
1.00000000 0.98878085 40.00000000 0.09493105 0.07600999 0.17249936 0.12673457 0.07265102 0.07465082 0.00023093 0.00016769
1.00000000 0.98878085 40.00000000 0.26858452 0.22598404 0.34969798 0.27325071 0.29017969 0.24231775 0.00053636 0.00041671
1.00000000 0.98878085 40.00000000 0.24521919 0.21789615 0.34023091 0.27788537 0.26448559 0.23456747 0.00063895 0.00055548
1.00000000 0.98878085 40.00000000 0.11163360 0.07550547 0.14673404 0.07655912 0.09468196 0.07416143 0.00023344 0.00013148
1.00000000 0.98878085 40.00000000 0.11565497 0.10298047 0.17731745 0.14511089 0.12202266 0.11159783 0.00025333 0.00023744
1.00000000 0.97256601 40.00000000 0.16463692 0.12248203 0.26013127 0.15229533 0.18963897 0.13002047 0.00049107 0.00035005
1.00000000 0.97256601 40.00000000 0.15142899 0.08458818 0.25989373 0.13459353 0.14366596 0.08228049 0.00045112 0.00046168
1.00000000 0.97256601 40.00000000 0.07836636 0.07784150 0.16618725 0.09109717 0.08656548 0.08007093 0.00034854 0.00018773
1.00000000 0.97256601 40.00000000 0.11294777 0.08119081 0.18302216 0.11959278 0.09181359 0.07722086 0.00020234 0.00016715
1.00000000 0.97256601 40.00000000 0.13576815 0.12844616 0.19075290 0.15503929 0.15437295 0.14112641 0.00053405 0.00043115
1.00000000 0.97256601 40.00000000 0.18757648 0.14129752 0.26424484 0.19674430 0.20781106 0.15206337 0.00039303 0.00034980
1.00000000 0.97256601 40.00000000 0.18778496 0.14563421 0.33860117 0.22210184 0.07892393 0.10032478 0.00060979 0.00048916
1.00000000 0.97256601 40.00000000 0.11712327 0.10050671 0.21206170 0.15768290 0.13972277 0.10504298 0.00050564 0.00032199
1.00000000 0.97256601 40.00000000 0.13783741 0.10799537 0.31478552 0.17953598 0.14347572 0.10546077 0.00101993 0.00066450
1.00000000 0.97256601 40.00000000 0.11570894 0.09604726 0.20408663 0.12143865 0.13571905 0.10047757 0.00054648 0.00030618
1.00000000 1.00348861 40.00000000 0.17736661 0.14347746 0.22471728 0.17372623 0.19678310 0.15616842 0.00035524 0.00031797
1.00000000 1.00348861 40.00000000 0.14755385 0.11846713 0.33622599 0.17605624 0.14730800 0.11003462 0.00052572 0.00034215
1.00000000 1.00348861 40.00000000 0.08764076 0.10565719 0.12348256 0.12979163 0.10143262 0.11736507 0.00023316 0.00030023
1.00000000 1.00348861 40.00000000 0.29218157 0.20153785 0.34480586 0.24127017 0.10268717 0.10798199 0.00120096 0.00078467
1.00000000 1.00348861 40.00000000 0.08716090 0.09847914 0.14225349 0.12775699 0.09482440 0.10302056 0.00027441 0.00025763
1.00000000 1.00348861 40.00000000 0.22285048 0.14656943 0.35873825 0.20220292 0.07948881 0.10127619 0.00072557 0.00045304
1.00000000 1.00348861 40.00000000 0.14423604 0.11660738 0.24058320 0.14976917 0.16963514 0.12412606 0.00057635 0.00042727
1.00000000 1.00348861 40.00000000 0.10826828 0.11248426 0.22740922 0.19919490 0.12433322 0.12368845 0.00036888 0.00036772
1.00000000 1.00348861 40.00000000 0.11784919 0.07280520 0.15286854 0.10277306 0.10624810 0.07344414 0.00054557 0.00030502
1.00000000 1.00348861 40.00000000 0.09820803 0.09094345 0.22541024 0.10617258 0.10780910 0.09060614 0.00097245 0.00050988
1.00000000 0.98965878 40.00000000 0.13984153 0.11043314 0.31141046 0.17414249 0.14398366 0.09584644 0.00081935 0.00043388
1.00000000 0.98965878 40.00000000 0.08626815 0.10081251 0.47198183 0.24947272 0.09354461 0.10723734 0.00120198 0.00064213
