# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
1.9953e+00 1.9953e+00 3.4000e+01 2.6745e-01 4.3640e-02 4.5499e-01 7.7877e-02 3.1653e-01 3.6910e-02
1.9953e+00 1.9953e+00 3.4000e+01 2.8187e-01 2.9251e-02 4.5299e-01 7.7570e-02 4.0284e-01 3.1456e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.1911e-01 3.4856e-02 4.5283e-01 8.2300e-02 4.0433e-01 3.2058e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.9633e-01 2.6358e-02 4.5263e-01 8.0196e-02 4.0333e-01 3.1585e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.0945e-01 3.5431e-02 4.0217e-01 3.1229e-02 4.0217e-01 3.1227e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.9913e-01 3.6879e-02 4.5556e-01 7.9721e-02 4.0213e-01 3.0601e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.8043e-01 3.1293e-02 4.5592e-01 7.5071e-02 4.0449e-01 2.6915e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.1175e-01 3.3743e-02 2.2995e-01 3.8359e-02 4.0491e-01 2.8084e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.0294e-01 3.9259e-02 4.5326e-01 7.9277e-02 4.0166e-01 3.0679e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.9461e-01 4.0230e-02 4.5327e-01 7.8971e-02 4.0197e-01 2.9604e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.9070e-01 3.1485e-02 4.5631e-01 7.9513e-02 4.0160e-01 2.8300e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.1387e-01 2.9968e-02 4.5532e-01 7.9787e-02 4.0374e-01 3.0975e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.9557e-01 3.4573e-02 4.4562e-01 8.2465e-02 4.0596e-01 3.4244e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.1890e-01 3.7015e-02 4.5111e-01 8.0374e-02 4.0220e-01 3.2151e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.8864e-01 3.5769e-02 4.4599e-01 7.8585e-02 4.0021e-01 3.1245e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.2064e-01 2.9336e-02 4.5668e-01 7.7353e-02 4.0203e-01 3.0066e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.1490e-01 3.4227e-02 4.5515e-01 8.1458e-02 4.0322e-01 3.2844e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.1284e-01 3.0474e-02 4.5023e-01 7.8832e-02 4.0299e-01 2.9980e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.0590e-01 3.4273e-02 4.5664e-01 7.8580e-02 4.0370e-01 3.0088e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.0463e-01 2.8518e-02 4.5300e-01 8.0832e-02 4.0191e-01 2.9938e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.1902e-01 2.4264e-02 4.5164e-01 7.5697e-02 4.0182e-01 2.8066e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.1234e-01 3.1714e-02 4.5083e-01 7.7634e-02 4.0388e-01 2.9249e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.9711e-01 3.1202e-02 4.4856e-01 8.0028e-02 4.0161e-01 3.1491e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.0803e-01 2.2386e-02 4.4694e-01 7.5419e-02 4.0047e-01 2.6458e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.0290e-01 3.0091e-02 4.4844e-01 7.2995e-02 4.0349e-01 2.5158e-02
2.8184e+00 2.8184e+00 3.1000e+01 2.7462e-01 3.7637e-02 4.4850e-01 8.2160e-02 2.4875e-01 4.3655e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.1675e-01 2.6451e-02 4.4910e-01 7.5624e-02 4.0347e-01 2.6702e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.1463e-01 3.2863e-02 4.5178e-01 7.5638e-02 4.0276e-01 2.8532e-02
2.8184e+00 2.8184e+00 3.1000e+01 2.8020e-01 2.9926e-02 4.5705e-01 8.2122e-02 4.0295e-01 3.3102e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.1235e-01 3.4051e-02 4.5446e-01 7.6360e-02 4.0223e-01 2.8555e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.0350e-01 3.7006e-02 4.4546e-01 8.4632e-02 3.9993e-01 3.2184e-02
2.8184e+00 2.8184e+00 3.1000e+01 2.9910e-01 3.9346e-02 2.1388e-01 2.4438e-02 4.0217e-01 3.2292e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.5420e-01 3.3833e-02 4.5359e-01 7.9208e-02 4.0250e-01 3.0763e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.0514e-01 3.7682e-02 4.4642e-01 7.2864e-02 4.0182e-01 2.6678e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.0805e-01 2.6960e-02 1.9932e-01 3.1676e-02 4.0499e-01 2.7229e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.0473e-01 2.6471e-02 4.5185e-01 7.7582e-02 4.0277e-01 2.9091e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.1420e-01 3.0692e-02 4.4954e-01 8.2890e-02 4.0198e-01 3.3238e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.1944e-01 3.2218e-02 4.3815e-01 7.8775e-02 4.0450e-01 2.9716e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.0614e-01 3.5534e-02 4.5008e-01 7.7247e-02 4.0130e-01 3.0542e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.5274e-01 2.2799e-02 4.5610e-01 7.3511e-02 4.0125e-01 2.4804e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.2934e-01 3.3598e-02 4.4350e-01 7.9831e-02 3.9941e-01 3.2935e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.3108e-01 3.2800e-02 4.5702e-01 7.6712e-02 4.0346e-01 2.8160e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.4083e-01 3.2539e-02 4.4491e-01 7.9252e-02 3.9888e-01 3.2719e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.3548e-01 3.0548e-02 4.5064e-01 8.1450e-02 4.0346e-01 3.2107e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.1792e-01 3.0003e-02 4.5024e-01 7.9105e-02 4.0480e-01 3.1429e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.1856e-01 3.6627e-02 4.3985e-01 8.5912e-02 3.9919e-01 3.6799e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.2156e-01 3.6313e-02 4.4661e-01 8.1700e-02 3.9949e-01 3.4850e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.1830e-01 3.5434e-02 4.4570e-01 8.3358e-02 4.0147e-01 3.5383e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.1862e-01 3.6809e-02 4.4137e-01 8.2034e-02 4.0035e-01 3.5001e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.2386e-01 2.9090e-02 4.4396e-01 7.7841e-02 4.0249e-01 2.9309e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.2054e-01 2.5257e-02 4.5178e-01 7.4201e-02 4.0207e-01 2.8361e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.2611e-01 3.4593e-02 4.4812e-01 8.1640e-02 4.0200e-01 3.2623e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.1097e-01 2.6859e-02 4.4926e-01 7.2740e-02 4.0398e-01 2.6032e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.3025e-01 3.1150e-02 4.4582e-01 7.9027e-02 4.0103e-01 3.1473e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.2978e-01 3.8640e-02 4.5210e-01 8.0773e-02 4.0144e-01 3.2076e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.2834e-01 2.5709e-02 4.5041e-01 7.3653e-02 4.0228e-01 2.7511e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.6252e-01 4.1701e-02 4.4874e-01 8.5083e-02 4.0312e-01 3.8965e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.6909e-01 2.7161e-02 4.5247e-01 7.1347e-02 4.0340e-01 2.7233e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.3901e-01 2.9849e-02 4.4589e-01 7.4648e-02 4.0297e-01 2.6383e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.5014e-01 4.0988e-02 4.4122e-01 8.5412e-02 4.0045e-01 3.8715e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.1055e-01 3.1453e-02 4.4138e-01 7.8554e-02 4.0279e-01 2.8808e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.2108e-01 2.9675e-02 4.5209e-01 7.2277e-02 4.0100e-01 2.7947e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.3890e-01 3.5013e-02 4.6380e-01 8.0775e-02 4.0517e-01 3.4210e-02
4.4668e+00 4.4668e+00 2.7000e+01 3.0597e-01 3.7273e-02 4.3707e-01 8.3767e-02 4.0710e-01 3.2916e-02
4.4668e+00 4.4668e+00 2.7000e+01 3.2203e-01 3.3594e-02 4.4209e-01 7.5415e-02 4.0446e-01 2.9520e-02
4.4668e+00 4.4668e+00 2.7000e+01 3.4895e-01 3.8210e-02 4.3704e-01 8.2185e-02 4.0204e-01 3.6578e-02
4.4668e+00 4.4668e+00 2.7000e+01 3.3669e-01 3.1281e-02 4.5555e-01 7.7484e-02 4.0226e-01 3.0390e-02
4.4668e+00 4.4668e+00 2.7000e+01 3.2236e-01 3.5953e-02 4.5423e-01 8.7029e-02 4.0055e-01 3.8838e-02
4.4668e+00 4.4668e+00 2.7000e+01 3.3904e-01 3.4742e-02 4.4588e-01 7.8816e-02 4.0034e-01 3.0639e-02
4.4668e+00 4.4668e+00 2.7000e+01 3.1342e-01 4.6183e-02 4.4025e-01 8.5573e-02 3.9875e-01 4.0636e-02
4.4668e+00 4.4668e+00 2.7000e+01 3.3759e-01 3.8514e-02 4.4180e-01 8.1261e-02 3.9959e-01 3.5081e-02
4.4668e+00 4.4668e+00 2.7000e+01 3.3858e-01 2.0406e-02 4.5141e-01 6.9212e-02 4.0064e-01 2.3438e-02
4.4668e+00 4.4668e+00 2.7000e+01 3.1962e-01 3.0650e-02 4.3432e-01 8.5787e-02 4.0466e-01 3.5767e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.4169e-01 3.6873e-02 4.4428e-01 8.4619e-02 4.0044e-01 3.5481e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.2595e-01 3.9020e-02 4.4161e-01 8.1313e-02 4.0016e-01 3.4879e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.3897e-01 2.5916e-02 4.4213e-01 6.5046e-02 4.0503e-01 2.1148e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.2785e-01 3.1377e-02 4.3767e-01 8.0110e-02 4.0256e-01 3.2918e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.2938e-01 3.3411e-02 4.4286e-01 7.9599e-02 4.0768e-01 3.1841e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.2835e-01 3.0112e-02 4.4117e-01 7.8751e-02 4.0593e-01 3.1265e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.3727e-01 1.7807e-02 4.4084e-01 5.5600e-02 4.0250e-01 1.7572e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.3500e-01 3.2590e-02 4.3872e-01 7.4774e-02 3.9979e-01 3.0523e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.2001e-01 3.4674e-02 4.3840e-01 7.3980e-02 3.9931e-01 3.1381e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.2305e-01 2.8209e-02 4.4872e-01 7.6423e-02 3.9962e-01 2.9061e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.4916e-01 2.7378e-02 4.4290e-01 7.4712e-02 4.0032e-01 2.8018e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.4314e-01 3.0267e-02 4.3182e-01 7.5127e-02 3.9973e-01 3.2250e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.1490e-01 4.2055e-02 4.4092e-01 8.7609e-02 3.9974e-01 4.0685e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.5956e-01 3.9663e-02 4.4299e-01 8.2020e-02 3.9892e-01 3.4829e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.5705e-01 2.5296e-02 4.3803e-01 8.1125e-02 4.0373e-01 2.8028e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.4051e-01 3.2984e-02 4.3674e-01 7.3675e-02 3.9883e-01 3.0981e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.3542e-01 3.3535e-02 4.4462e-01 7.5315e-02 3.9917e-01 3.0411e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.2964e-01 3.7722e-02 4.3885e-01 7.8675e-02 4.0025e-01 3.4532e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.3881e-01 3.4566e-02 4.4174e-01 7.7750e-02 4.0315e-01 3.1230e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.4977e-01 2.2119e-02 4.4028e-01 7.8958e-02 4.0027e-01 2.4681e-02
6.3096e+00 6.3096e+00 2.4000e+01 3.3338e-01 3.3987e-02 4.3583e-01 8.1477e-02 3.9901e-01 3.4940e-02
6.3096e+00 6.3096e+00 2.4000e+01 3.4946e-01 3.2445e-02 4.4190e-01 7.1080e-02 4.0052e-01 3.1317e-02
6.3096e+00 6.3096e+00 2.4000e+01 3.5377e-01 3.2261e-02 4.2900e-01 7.1067e-02 4.0913e-01 2.9244e-02
6.3096e+00 6.3096e+00 2.4000e+01 3.4918e-01 2.4493e-02 4.4415e-01 6.8810e-02 3.9979e-01 2.4852e-02
6.3096e+00 6.3096e+00 2.4000e+01 3.4591e-01 4.4383e-02 4.3993e-01 9.1055e-02 3.9905e-01 4.6406e-02
6.3096e+00 6.3096e+00 2.4000e+01 3.6705e-01 2.9873e-02 4.2869e-01 7.5064e-02 4.0929e-01 2.9557e-02
6.3096e+00 6.3096e+00 2.4000e+01 3.6341e-01 2.8996e-02 4.4103e-01 6.4856e-02 4.0101e-01 2.6378e-02
6.3096e+00 6.3096e+00 2.4000e+01 3.4573e-01 4.5398e-02 4.2281e-01 9.0135e-02 4.0393e-01 4.4184e-02
6.3096e+00 6.3096e+00 2.4000e+01 3.6084e-01 3.6281e-02 4.4236e-01 8.1368e-02 4.0161e-01 3.7102e-02
6.3096e+00 6.3096e+00 2.4000e+01 3.2435e-01 3.7320e-02 4.4260e-01 7.9116e-02 4.0004e-01 3.6858e-02
7.0795e+00 7.0795e+00 2.3000e+01 3.8268e-01 2.7185e-02 4.4526e-01 6.5914e-02 4.0205e-01 2.6538e-02
7.0795e+00 7.0795e+00 2.3000e+01 3.6097e-01 3.4991e-02 4.2783e-01 8.4512e-02 4.0257e-01 3.6332e-02
7.0795e+00 7.0795e+00 2.3000e+01 3.9985e-01 3.2875e-02 4.3648e-01 7.2579e-02 4.0070e-01 3.2842e-02
7.0795e+00 7.0795e+00 2.3000e+01 3.6705e-01 4.5701e-02 4.3529e-01 8.7894e-02 4.0206e-01 4.3998e-02
7.0795e+00 7.0795e+00 2.3000e+01 3.6851e-01 2.7118e-02 4.3692e-01 6.9501e-02 3.9931e-01 2.7089e-02
