# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
1.7783e+00 1.7783e+00 3.5000e+01 1.8556e-04 4.0940e-02 2.7636e-04 2.2495e-02 4.3662e-04 1.3772e-02
1.7783e+00 1.7783e+00 3.5000e+01 4.9045e-04 4.0892e-02 7.2848e-04 1.4393e-02 7.2373e-04 1.4393e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.4862e-04 3.5122e-02 3.2034e-04 1.3364e-02 3.3810e-04 1.3362e-02
1.7783e+00 1.7783e+00 3.5000e+01 3.2205e-03 3.8069e-02 3.3954e-03 1.1455e-02 3.3954e-03 1.1455e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.1127e-03 3.6965e-02 9.0976e-04 1.2845e-02 8.8922e-04 1.5243e-02
1.9953e+00 1.9953e+00 3.4000e+01 2.9208e-04 4.1897e-02 4.4567e-04 2.2478e-02 5.6988e-04 1.1536e-02
1.9953e+00 1.9953e+00 3.4000e+01 5.1420e-04 3.8821e-02 5.1466e-04 2.2507e-02 7.3910e-04 1.0844e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.8335e-03 3.7426e-02 1.9135e-03 2.2493e-02 1.9218e-03 2.2493e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.1251e-03 3.7917e-02 1.3165e-03 1.1482e-02 1.3222e-03 1.1484e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.0953e-03 4.1021e-02 2.8085e-03 1.4197e-02 2.8043e-03 1.4197e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.3213e-03 3.5613e-02 1.1379e-03 1.1109e-02 1.1280e-03 1.1108e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6611e-03 3.4587e-02 1.4829e-03 1.4220e-02 1.4786e-03 1.4219e-02
1.9953e+00 1.9953e+00 3.4000e+01 5.1470e-03 3.3165e-02 2.6762e-03 1.6466e-02 4.9909e-03 1.6041e-02
1.9953e+00 1.9953e+00 3.4000e+01 2.9457e-03 4.1221e-02 2.9753e-03 1.2178e-02 3.2304e-03 1.0891e-02
1.9953e+00 1.9953e+00 3.4000e+01 5.8263e-05 3.4579e-02 1.1116e-06 2.2517e-02 1.3247e-04 1.2480e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.8136e-04 3.5465e-02 2.2961e-02 2.2497e-02 3.6474e-04 1.5005e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.8881e-03 3.9892e-02 4.0333e-03 1.1898e-02 4.0332e-03 1.1902e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.1189e-03 3.3814e-02 1.9346e-03 1.3841e-02 1.9382e-03 1.3840e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.1497e-03 4.0124e-02 1.0064e-03 2.2531e-02 8.8953e-04 1.2812e-02
2.2387e+00 2.2387e+00 3.3000e+01 7.9427e-04 3.8497e-02 5.6709e-04 1.3145e-02 5.5162e-04 1.3145e-02
2.2387e+00 2.2387e+00 3.3000e+01 4.1408e-04 3.4026e-02 5.6708e-04 1.2079e-02 5.6775e-04 1.2080e-02
2.2387e+00 2.2387e+00 3.3000e+01 4.8698e-04 3.6840e-02 2.7442e-04 1.2323e-02 2.7919e-04 1.2321e-02
2.2387e+00 2.2387e+00 3.3000e+01 4.1696e-03 3.8961e-02 1.7199e-02 1.8302e-02 3.9552e-03 1.7795e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.7087e-03 4.2428e-02 3.9426e-03 1.1279e-02 3.9461e-03 1.1274e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.0350e-04 4.5158e-02 5.7231e-04 1.2249e-02 5.7313e-04 1.2249e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.8618e-03 3.7134e-02 1.8577e-03 1.1063e-02 1.6961e-03 1.6531e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.6186e-03 3.5496e-02 3.7966e-03 1.1545e-02 3.7993e-03 1.1544e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.0350e-03 2.7533e-02 2.1264e-03 1.2842e-02 2.1205e-03 1.2842e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.9407e-04 3.6208e-02 8.5424e-05 1.3745e-02 9.0855e-05 1.3740e-02
2.5119e+00 2.5119e+00 3.2000e+01 6.0807e-03 3.8098e-02 6.2374e-03 1.1743e-02 6.2267e-03 1.1738e-02
2.5119e+00 2.5119e+00 3.2000e+01 6.1249e-04 4.3393e-02 8.8693e-04 1.4985e-02 8.8668e-04 1.4996e-02
2.5119e+00 2.5119e+00 3.2000e+01 8.0107e-05 4.2241e-02 6.5331e-05 4.2241e-02 3.4239e-04 1.4339e-02
2.5119e+00 2.5119e+00 3.2000e+01 8.9312e-04 3.8928e-02 8.3498e-04 1.2510e-02 1.1191e-03 1.0690e-02
2.5119e+00 2.5119e+00 3.2000e+01 9.4821e-04 3.5275e-02 2.9866e-02 1.2757e-02 7.2134e-04 1.2361e-02
2.5119e+00 2.5119e+00 3.2000e+01 7.3701e-04 4.2790e-02 9.6687e-04 1.4157e-02 9.4093e-04 1.0748e-02
2.8184e+00 2.8184e+00 3.1000e+01 6.7473e-04 3.8385e-02 4.7975e-04 1.2431e-02 4.7980e-04 1.2430e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.5252e-04 3.4197e-02 2.4663e-05 1.3542e-02 2.4240e-05 1.3542e-02
2.8184e+00 2.8184e+00 3.1000e+01 9.4764e-04 3.5473e-02 9.0133e-04 2.2487e-02 7.7467e-04 1.3692e-02
