# x	res_f2_nosym	res_f2_sym	res_f2_NN_SR
9.04267472e-01	-4.63378621e-03	-8.89736605e-03	2.24866532e-03
9.14179460e-01	-5.92500486e-03	-8.71041932e-03	2.24866532e-03
9.24901990e-01	-9.11718305e-03	-9.11517139e-03	2.24866532e-03
9.36418786e-01	-1.20920952e-02	-1.02608021e-02	2.24866532e-03
9.48709251e-01	-1.29543643e-02	-1.09997417e-02	2.24866532e-03
9.61748463e-01	-8.43583245e-03	-8.54474504e-03	2.24866532e-03
9.75503047e-01	-5.93237307e-03	-7.01873478e-03	2.24866532e-03
9.89933432e-01	-4.88012559e-03	-6.60812944e-03	2.24866532e-03
1.00499769e+00	-5.10125011e-03	-7.49925859e-03	2.24866532e-03
1.02064903e+00	-5.96064051e-03	-7.79475739e-03	2.24866532e-03
1.03683582e+00	-7.99974362e-03	-7.73485313e-03	2.24866532e-03
1.05350155e+00	-6.62492186e-03	-4.19881165e-03	2.24866532e-03
1.07058184e+00	-3.77315231e-03	-1.72412344e-03	2.24866532e-03
1.08800597e+00	2.40648109e-04	8.39570480e-04	2.24866532e-03
1.10569987e+00	2.28802746e-03	4.06375413e-03	2.24866532e-03
1.12358418e+00	2.24653387e-03	5.10943437e-03	2.24866532e-03
1.14157433e+00	2.96678304e-05	2.16920636e-03	2.24866532e-03
1.15958045e+00	-4.40938113e-03	-2.99368141e-03	2.24866532e-03
1.17751199e+00	-8.67092020e-03	-8.38964588e-03	2.24866532e-03
1.19527554e+00	-8.24916696e-03	-8.39150285e-03	2.24866532e-03
1.21277009e+00	-1.00683475e-02	-1.01349259e-02	2.24866532e-03
1.22988999e+00	-9.23249484e-03	-1.10556221e-02	2.24866532e-03
1.24652495e+00	-1.00314516e-02	-1.39164824e-02	2.24866532e-03
1.26256003e+00	-1.02642124e-02	-1.52180737e-02	2.24866532e-03
1.27788689e+00	-8.31073060e-03	-1.34960367e-02	2.24866532e-03
1.29240493e+00	-8.12123295e-03	-1.35257053e-02	2.24866532e-03
1.30601057e+00	-9.42655033e-03	-1.15630788e-02	2.24866532e-03
1.31860389e+00	-1.19272133e-02	-9.16388237e-03	2.24866532e-03
1.33008754e+00	-1.32072744e-02	-4.92973893e-03	2.24866532e-03
1.34037281e+00	-6.04466818e-03	-2.03089140e-03	2.24866532e-03
1.34937242e+00	-4.75244425e-04	-1.91764735e-04	2.24866532e-03
1.35701326e+00	3.73909608e-03	8.54827322e-04	2.24866532e-03
1.36322190e+00	6.81322842e-03	1.35570794e-03	2.24866532e-03
1.36794491e+00	8.94133936e-03	1.52544866e-03	2.24866532e-03
1.37113116e+00	1.02735139e-02	1.53678431e-03	2.24866532e-03
1.37273898e+00	1.09134690e-02	1.51035942e-03	2.24866532e-03
1.37273819e+00	1.09136860e-02	1.51069569e-03	2.24866532e-03
1.37111773e+00	1.02676217e-02	1.53649495e-03	2.24866532e-03
1.36787446e+00	8.91087469e-03	1.52442869e-03	2.24866532e-03
1.36301554e+00	6.71659326e-03	1.34418821e-03	2.24866532e-03
1.35655891e+00	3.50200398e-03	8.06205105e-04	2.24866532e-03
1.34853332e+00	-9.66795784e-04	-3.35701805e-04	2.24866532e-03
1.33898197e+00	-6.96359589e-03	-2.37332298e-03	2.24866532e-03
1.32795012e+00	-1.45937388e-02	-5.63837938e-03	2.24866532e-03
1.31548482e+00	-1.11912790e-02	-9.86960556e-03	2.24866532e-03
1.30165818e+00	-8.85203822e-03	-1.25774477e-02	2.24866532e-03
1.28653405e+00	-8.00188401e-03	-1.33178435e-02	2.24866532e-03
1.27018557e+00	-9.06868102e-03	-1.41372812e-02	2.24866532e-03
1.25269484e+00	-1.10790801e-02	-1.55021620e-02	2.24866532e-03
1.23413834e+00	-9.24115503e-03	-1.15908297e-02	2.24866532e-03
1.21460114e+00	-9.92436773e-03	-1.02276958e-02	2.24866532e-03
1.19416674e+00	-8.20803830e-03	-8.35520216e-03	2.24866532e-03
1.17291388e+00	-9.13898005e-03	-8.26830521e-03	2.24866532e-03
1.15091703e+00	-1.99425299e-03	-2.30223727e-04	2.24866532e-03
1.12825667e+00	1.88211671e-03	4.55699436e-03	2.24866532e-03
1.10501524e+00	2.24721874e-03	3.97958304e-03	2.24866532e-03
1.08127710e+00	-1.07606364e-03	-1.12654877e-03	2.24866532e-03
1.05712847e+00	-6.28863145e-03	-3.51800639e-03	2.24866532e-03
1.03263727e+00	-7.31508953e-03	-8.00680143e-03	2.24866532e-03
1.00783912e+00	-5.29597083e-03	-7.82032626e-03	2.24866532e-03
9.82793493e-01	-5.24732364e-03	-6.65777070e-03	2.24866532e-03
9.57558229e-01	-9.78155841e-03	-9.22737678e-03	2.24866532e-03
