# noise_perc_th noise_perc SNR_dB SINDy_f1 SINDy_f2 Poly_f1 Poly_f2 Param_f1 Param_f2
2.2387e+00 2.2387e+00 3.3000e+01 1.2678e+00 1.0882e+00 9.9267e-01 1.6111e+00 3.0263e-01 2.4950e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.1877e+00 1.1551e+00 9.8538e-01 1.5896e+00 2.9369e-01 3.2816e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.1934e+00 1.1646e+00 9.8648e-01 1.6056e+00 3.1920e-01 2.6334e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.2659e+00 1.1334e+00 1.0433e+00 1.4494e+00 3.1382e-01 2.7850e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.2960e+00 1.1206e+00 1.0397e+00 1.5132e+00 2.9667e-01 3.6122e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.3580e+00 1.1102e+00 1.0569e+00 1.5186e+00 3.2443e-01 3.0244e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.2731e+00 1.0960e+00 9.9128e-01 1.6570e+00 3.2100e-01 3.2643e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.1996e+00 1.1485e+00 9.9314e-01 1.6093e+00 3.1035e-01 2.7050e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.3537e+00 1.1177e+00 1.0705e+00 1.5088e+00 3.3083e-01 3.1339e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.2265e+00 1.1320e+00 1.0102e+00 1.4984e+00 2.9875e-01 3.0286e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.2665e+00 1.0958e+00 9.9230e-01 1.5767e+00 3.2203e-01 2.8225e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.3030e+00 1.1206e+00 9.7538e-01 1.6968e+00 3.1727e-01 3.6164e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.2716e+00 1.1504e+00 1.0272e+00 1.5453e+00 3.2541e-01 3.2781e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.2606e+00 1.1718e+00 1.0184e+00 1.5763e+00 2.7828e-01 3.3435e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.2757e+00 1.1340e+00 1.0241e+00 1.5791e+00 3.1966e-01 3.2047e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.2972e+00 1.1164e+00 1.0303e+00 1.5252e+00 2.9368e-01 2.1704e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.2108e+00 1.1474e+00 9.8293e-01 1.6039e+00 3.2504e-01 3.3009e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.2554e+00 1.0924e+00 9.8194e-01 1.7082e+00 3.0271e-01 3.5571e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.2677e+00 1.1716e+00 1.0134e+00 1.6172e+00 3.1158e-01 2.9758e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.2731e+00 1.1210e+00 9.8471e-01 1.6833e+00 2.8688e-01 2.0734e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.2884e+00 1.1444e+00 1.0159e+00 1.6154e+00 3.0411e-01 3.4355e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.3247e+00 1.1332e+00 1.0374e+00 1.5599e+00 3.1708e-01 3.3152e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.2046e+00 1.2052e+00 1.0223e+00 1.5191e+00 3.1170e-01 4.3337e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.1589e+00 1.1834e+00 9.8378e-01 1.5834e+00 3.2000e-01 3.6589e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.2838e+00 1.1793e+00 1.0508e+00 1.5445e+00 3.3098e-01 2.7149e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.3248e+00 1.1050e+00 1.0775e+00 1.4106e+00 3.3422e-01 2.8730e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.2674e+00 1.1945e+00 1.0724e+00 1.4430e+00 3.2003e-01 3.9111e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.2913e+00 1.1395e+00 1.0131e+00 1.5969e+00 3.3818e-01 2.5370e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.3228e+00 1.1574e+00 1.0544e+00 1.5343e+00 3.2683e-01 3.0700e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.2508e+00 1.1491e+00 1.0249e+00 1.4986e+00 3.1280e-01 3.4699e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.2459e+00 1.1722e+00 1.0226e+00 1.5645e+00 3.0192e-01 2.7817e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.2548e+00 1.1588e+00 1.0469e+00 1.4519e+00 3.1257e-01 3.2561e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.2881e+00 1.1488e+00 1.0309e+00 1.5534e+00 3.2248e-01 2.6088e-02
