# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
3.5481e+00 3.4512e+00 2.9000e+01 2.5113e-03 2.0006e-03 1.9818e-02 2.1154e-03 1.9820e-02 2.1230e-03
3.5481e+00 3.4964e+00 2.9000e+01 1.7334e-03 9.5655e-04 1.0833e-02 8.9263e-04 2.0042e-02 5.9541e-04
3.5481e+00 3.4462e+00 2.9000e+01 4.1126e-03 5.2690e-04 1.2248e-02 1.3412e-04 1.9939e-02 9.4854e-04
3.5481e+00 3.5445e+00 2.9000e+01 3.0482e-03 6.6382e-04 1.9811e-02 5.2659e-04 1.9811e-02 5.3752e-04
3.5481e+00 3.5453e+00 2.9000e+01 1.4361e-03 8.5176e-04 1.0945e-02 8.2247e-04 2.0015e-02 6.8200e-04
3.9811e+00 4.0352e+00 2.8000e+01 5.8161e-04 1.1264e-04 1.9816e-02 1.6359e-04 1.9817e-02 1.6690e-04
3.9811e+00 3.8344e+00 2.8000e+01 2.0518e-03 3.3894e-04 1.9823e-02 3.1519e-04 1.9834e-02 2.2057e-03
3.9811e+00 4.1126e+00 2.8000e+01 3.9101e-03 1.9144e-03 1.3091e-02 2.0289e-03 3.6333e-02 1.9490e-03
3.9811e+00 3.9324e+00 2.8000e+01 2.6538e-03 2.0525e-03 2.0193e-02 1.4709e-03 2.0193e-02 1.4636e-03
3.9811e+00 3.8670e+00 2.8000e+01 7.1092e-04 2.6356e-03 1.9822e-02 2.8594e-03 3.6083e-02 2.8595e-03
3.9811e+00 3.8512e+00 2.8000e+01 1.1512e-03 5.3869e-04 1.9974e-02 4.4388e-04 1.9975e-02 5.2666e-04
3.9811e+00 3.9050e+00 2.8000e+01 2.1691e-03 1.2128e-03 1.0986e-02 1.1522e-03 1.9791e-02 4.6306e-04
3.9811e+00 3.6497e+00 2.8000e+01 2.6090e-03 2.2448e-04 1.9881e-02 2.3960e-04 1.9878e-02 3.4834e-04
3.9811e+00 4.1223e+00 2.8000e+01 7.6776e-04 6.2945e-04 1.9843e-02 7.0802e-04 1.9839e-02 7.0436e-04
3.9811e+00 3.9330e+00 2.8000e+01 1.9884e-03 5.1797e-05 1.0781e-02 5.6411e-05 1.9978e-02 3.2986e-04
4.4668e+00 4.7068e+00 2.7000e+01 3.7771e-03 3.5490e-04 1.3252e-02 4.7230e-04 1.9850e-02 3.4763e-05
4.4668e+00 4.2589e+00 2.7000e+01 2.6135e-03 3.8896e-04 2.0045e-02 7.2488e-05 2.0046e-02 1.1106e-04
4.4668e+00 4.3928e+00 2.7000e+01 3.1678e-03 1.9317e-03 1.9822e-02 1.5191e-03 1.9807e-02 1.2998e-03
4.4668e+00 4.4836e+00 2.7000e+01 1.5467e-03 1.4919e-04 1.9797e-02 5.7539e-05 1.9812e-02 2.9827e-04
4.4668e+00 4.3244e+00 2.7000e+01 1.9105e-03 9.7535e-04 1.9790e-02 4.2125e-04 1.9791e-02 4.6384e-04
4.4668e+00 4.3537e+00 2.7000e+01 4.5232e-03 4.1421e-03 2.0337e-02 3.5477e-03 2.0338e-02 3.5500e-03
4.4668e+00 4.3060e+00 2.7000e+01 1.2994e-03 1.2828e-04 1.9826e-02 1.1783e-04 1.9827e-02 1.3757e-04
4.4668e+00 4.3963e+00 2.7000e+01 4.5501e-03 1.1146e-03 1.2574e-02 7.3799e-04 2.0023e-02 1.4734e-03
4.4668e+00 4.4321e+00 2.7000e+01 3.5462e-03 4.0516e-04 2.0369e-02 6.9103e-04 2.0388e-02 1.0912e-03
4.4668e+00 4.4395e+00 2.7000e+01 2.5340e-03 6.9089e-04 2.0023e-02 1.2185e-04 2.0022e-02 1.4540e-04
5.0119e+00 4.9474e+00 2.6000e+01 3.1848e-03 1.3744e-03 5.5480e-02 1.7547e-02 1.9861e-02 2.3739e-03
