noise_th noise noise_db xSR vSR xSR-CC vSR-CC xparam vparam
0.00000000 0.00000000 inf 0.00012150 0.00008647 0.00028592 0.00022733 0.00010820 0.00009677
0.00000000 0.00000000 inf 0.00030140 0.00014134 0.00010848 0.00006585 0.00027568 0.00011955
0.00000000 0.00000000 inf 0.00062790 0.00043876 0.00084568 0.00056051 0.00091013 0.00067555
0.00000000 0.00000000 inf 0.00027868 0.00014108 0.00032347 0.00018888 0.00025653 0.00011612
0.00000000 0.00000000 inf 0.00000526 0.00000034 0.00016039 0.00013327 0.00000000 0.00000000
0.00000000 0.00000000 inf 0.00028487 0.00014384 0.00053236 0.00037265 0.00082839 0.00055087
0.00000000 0.00000000 inf 0.00007162 0.00004188 0.00014640 0.00015069 0.00018777 0.00017240
0.00000000 0.00000000 inf 0.00000001 0.00000000 0.00005723 0.00004852 0.00000000 0.00000000
0.00000000 0.00000000 inf 0.00011556 0.00009112 0.00012291 0.00011809 0.00014357 0.00011655
0.00000000 0.00000000 inf 0.00000059 0.00000044 0.00001860 0.00001410 0.00000000 0.00000000
0.00000000 0.00000000 inf 0.00009137 0.00009910 0.00010785 0.00012022 0.00005637 0.00007337
0.00000000 0.00000000 inf 0.00019994 0.00022802 0.00024613 0.00029409 0.00021887 0.00025686
0.00000000 0.00000000 inf 0.00017109 0.00015638 0.00021779 0.00018986 0.00003767 0.00002896
0.00000000 0.00000000 inf 0.00011422 0.00012726 0.00026864 0.00020030 0.00024442 0.00016636
0.00000000 0.00000000 inf 0.00062709 0.00040795 0.00073811 0.00055931 0.00005505 0.00005053
0.00000000 0.00000000 inf 0.00007369 0.00007693 0.00008387 0.00008568 0.00005378 0.00007128
0.00000000 0.00000000 inf 0.00024119 0.00010652 0.00047691 0.00028813 0.00019824 0.00012565
0.00000000 0.00000000 inf 0.00000033 0.00000054 0.00032984 0.00020720 0.00000000 0.00000000
0.00000000 0.00000000 inf 0.00012788 0.00002931 0.00028845 0.00015008 0.00005968 0.00008515
0.00000000 0.00000000 inf 0.00003479 0.00002655 0.00004404 0.00002886 0.00001896 0.00001471
0.00000000 0.00000000 inf 0.00052147 0.00029902 0.00074631 0.00038814 0.00053924 0.00029656
