# noise_perc_th noise_perc SNR_dB SINDy_ku0_f1 SINDy_ku0_f2 SINDy_f1 SINDy_f2 SINDy_Sym_f1 SINDy_Sym_f2 SINDy_Sym_f1_SR SINDy_Sym_f2_SR Poly_f1 Poly_f2 Param_f1 Param_f2
1.5849e+00 1.5849e+00 3.6000e+01 1.6276e-01 2.0527e+00 2.8784e-01 2.7652e-01 2.4746e-01 1.9138e-01 2.1761e-01 1.9634e-01 2.1694e-01 5.1875e-01 2.3351e-03 3.5758e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6695e-01 1.4016e+00 2.9125e-01 2.8147e-01 2.5448e-01 1.9587e-01 2.3765e-01 1.9624e-01 2.2099e-01 5.2512e-01 1.0261e-03 4.0016e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6250e-01 6.0346e+00 3.0983e-01 2.7645e-01 2.5084e-01 1.9638e-01 2.0857e-01 1.8527e-01 2.0813e-01 5.0801e-01 1.2963e-03 3.8025e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6256e-01 2.8755e+00 3.0503e-01 2.8653e-01 2.5157e-01 2.0140e-01 2.0868e-01 1.9767e-01 2.1549e-01 5.1964e-01 1.3180e-03 4.0760e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6404e-01 2.9614e+00 2.8907e-01 2.8120e-01 2.5659e-01 1.9421e-01 2.3401e-01 1.8929e-01 2.2558e-01 5.1954e-01 1.4070e-03 3.8210e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6556e-01 2.1884e+00 2.8199e-01 2.8120e-01 2.6046e-01 1.9612e-01 2.5307e-01 1.9797e-01 2.2187e-01 5.1712e-01 1.1430e-03 3.8207e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.6565e-01 2.0645e+00 2.9263e-01 2.8330e-01 2.5705e-01 1.9920e-01 2.4349e-01 1.9884e-01 2.2041e-01 5.2686e-01 1.3918e-03 3.9669e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.6648e-01 1.3326e+00 3.0409e-01 2.7701e-01 2.5872e-01 1.9356e-01 2.5784e-01 1.9609e-01 2.2423e-01 5.2110e-01 1.2814e-03 3.7100e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.6437e-01 2.0488e+00 2.9099e-01 2.7627e-01 2.5047e-01 1.8978e-01 2.3779e-01 1.9469e-01 2.1762e-01 5.1174e-01 2.8556e-03 3.6711e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.6582e-01 8.6908e-01 3.1010e-01 2.7831e-01 2.5264e-01 1.9091e-01 2.3697e-01 1.9442e-01 2.1039e-01 5.0911e-01 2.9378e-03 3.2916e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.6336e-01 1.3577e+01 3.0240e-01 2.7271e-01 2.5416e-01 1.8722e-01 2.4816e-01 1.8461e-01 2.1831e-01 5.0710e-01 3.4650e-03 3.6079e-02
