# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
1.4125e+00 1.4125e+00 3.7000e+01 1.5805e-01 6.8868e-02 3.0635e-01 2.2707e-02 1.4764e-01 7.2375e-02 3.0634e-01 5.4817e-02 2.7576e-01 3.7791e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.5941e-01 9.3487e-02 2.5808e-01 5.4314e-02 1.3590e-01 6.9365e-02 3.0644e-01 4.4507e-02 2.6762e-01 4.2707e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.7599e-01 1.1388e-01 3.1021e-01 6.1344e-02 1.4621e-01 6.9826e-02 3.1025e-01 4.5791e-02 2.8342e-01 3.9484e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.0363e-01 1.3556e-01 3.0532e-01 1.0453e-01 1.6262e-01 7.0235e-02 3.0380e-01 5.8022e-02 2.9529e-01 4.4388e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.8022e-01 6.8001e-02 3.0626e-01 3.6471e-03 1.6662e-01 6.8215e-02 2.5826e-01 4.3529e-02 2.9964e-01 2.7134e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.4280e-01 1.6369e-01 3.4515e-01 1.5221e-01 1.6867e-01 8.1444e-02 3.0884e-01 5.4498e-02 2.7564e-01 2.7373e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.6083e-01 8.7679e-02 3.0665e-01 5.0488e-02 1.4370e-01 6.6291e-02 3.0667e-01 4.7900e-02 2.8639e-01 3.3515e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.8373e-01 1.0882e-01 3.0520e-01 9.3085e-02 1.3559e-01 6.4864e-02 2.5493e-01 1.7066e-02 2.6510e-01 3.3383e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.1072e-01 9.6170e-02 3.0201e-01 8.2480e-02 1.5281e-01 5.9759e-02 3.0173e-01 3.2634e-03 2.8399e-01 2.4405e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.1283e-01 9.3264e-02 3.0281e-01 5.9711e-02 1.6743e-01 7.1561e-02 2.5299e-01 5.9919e-02 3.0323e-01 2.6666e-02
1.5849e+00 1.5849e+00 3.6000e+01 1.8611e-01 1.0359e-01 3.0574e-01 9.0051e-02 1.5209e-01 7.7924e-02 2.5613e-01 5.5909e-02 2.9864e-01 3.2291e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.4668e-01 1.9411e-01 3.5633e-01 1.8289e-01 1.5181e-01 7.8936e-02 3.0448e-01 4.9191e-02 2.7083e-01 3.0068e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.1484e-01 9.6648e-02 3.0403e-01 6.4123e-02 1.7417e-01 7.2126e-02 3.0342e-01 4.8763e-02 3.1008e-01 3.1052e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.9331e-01 1.0821e-01 3.0566e-01 6.4520e-02 1.4870e-01 6.5472e-02 2.7260e-01 4.7900e-02 2.8363e-01 2.8615e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.0326e-01 1.0950e-01 3.0252e-01 5.2572e-02 1.7453e-01 7.8417e-02 3.0233e-01 4.5579e-02 3.1840e-01 3.3370e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.2260e-01 1.4859e-01 3.0265e-01 1.2682e-01 1.5546e-01 6.6522e-02 3.0200e-01 4.7270e-02 2.9287e-01 2.7526e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.9921e-01 1.0610e-01 3.0615e-01 8.0096e-02 1.7334e-01 8.4093e-02 3.0542e-01 6.6511e-02 2.8765e-01 2.4620e-02
1.7783e+00 1.7783e+00 3.5000e+01 2.0410e-01 1.0768e-01 3.0426e-01 8.0094e-02 1.6824e-01 6.9582e-02 3.0428e-01 4.0002e-02 3.1571e-01 3.1212e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.8743e-01 1.1502e-01 3.0696e-01 8.1006e-02 1.6322e-01 9.0713e-02 3.0698e-01 7.3524e-02 2.8850e-01 3.2864e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.7180e-01 6.8102e-02 3.0551e-01 3.6996e-02 1.6538e-01 7.8110e-02 3.0538e-01 7.0648e-02 2.8276e-01 3.2934e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.9353e-01 1.1279e-01 3.0369e-01 7.7520e-02 1.5528e-01 6.1701e-02 2.5389e-01 4.4331e-02 2.9116e-01 3.2754e-02
1.9953e+00 1.9953e+00 3.4000e+01 2.0892e-01 1.1613e-01 3.0511e-01 8.6159e-02 1.5875e-01 6.7019e-02 2.6025e-01 3.2480e-02 2.8439e-01 2.6566e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.7296e-01 8.2053e-02 3.0718e-01 1.0794e-02 1.6570e-01 6.9087e-02 2.7421e-01 2.8134e-03 3.0693e-01 2.9871e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6890e-01 7.4644e-02 3.0388e-01 1.6329e-02 1.5402e-01 8.0956e-02 3.0400e-01 4.6371e-02 2.8017e-01 2.9819e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.9698e-01 1.0134e-01 3.0687e-01 4.7082e-04 1.9148e-01 7.4879e-02 3.0675e-01 2.4633e-03 3.1071e-01 3.6610e-02
1.9953e+00 1.9953e+00 3.4000e+01 2.1713e-01 9.6938e-02 3.0278e-01 6.5189e-02 1.8494e-01 6.0836e-02 3.0240e-01 3.2087e-02 3.0706e-01 3.2632e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.8921e-01 9.5350e-02 3.0515e-01 1.2345e-02 1.7306e-01 7.6673e-02 3.0509e-01 7.7025e-02 3.0842e-01 2.8573e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.9958e-01 1.2379e-01 2.8933e-01 1.0630e-01 1.7558e-01 6.7292e-02 2.7563e-01 6.4154e-02 2.9887e-01 3.5754e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.7690e-01 6.4433e-02 3.0434e-01 2.8569e-02 1.6882e-01 7.7214e-02 3.0422e-01 8.7267e-02 2.9478e-01 2.9146e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.9577e-01 9.3736e-02 3.0850e-01 4.1722e-02 1.6782e-01 7.1026e-02 3.0807e-01 4.8278e-02 2.7897e-01 3.2473e-02
1.9953e+00 1.9953e+00 3.4000e+01 2.1816e-01 9.7878e-02 3.0766e-01 9.0322e-03 1.7695e-01 7.8902e-02 2.5733e-01 4.9427e-02 3.0043e-01 2.4088e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.1133e-01 1.1237e-01 3.0662e-01 7.2086e-02 1.7393e-01 7.3344e-02 2.7674e-01 6.4748e-03 2.9486e-01 2.3284e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.2463e-01 1.0356e-01 3.0341e-01 5.7001e-02 1.9116e-01 8.0059e-02 3.0317e-01 5.8538e-02 3.0947e-01 3.0490e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.9230e-01 6.4077e-02 3.0536e-01 1.1357e-02 1.7826e-01 8.3407e-02 3.0538e-01 5.3207e-02 3.1206e-01 2.8881e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.6161e-01 2.8841e-01 4.2754e-01 2.7014e-01 1.7775e-01 8.1027e-02 3.0589e-01 5.8876e-02 2.8780e-01 3.2459e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.0463e-01 7.6624e-02 3.0673e-01 4.2355e-02 1.9507e-01 8.9818e-02 3.0632e-01 6.8819e-02 3.1747e-01 3.1626e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.1614e-01 1.2733e-01 3.0974e-01 8.8807e-02 1.7414e-01 6.9613e-02 3.0751e-01 4.6708e-02 3.0737e-01 3.6172e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.2306e-01 1.1249e-01 3.0356e-01 6.0589e-03 1.9237e-01 8.6631e-02 3.0349e-01 6.2588e-02 3.0432e-01 3.8065e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.1769e-01 9.0554e-02 3.0194e-01 5.0371e-02 1.8338e-01 6.6025e-02 3.0175e-01 3.9752e-02 3.2423e-01 3.0562e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.1430e-01 8.1999e-02 2.8734e-01 3.8043e-02 1.8475e-01 8.8473e-02 2.5992e-01 6.3708e-02 3.0150e-01 3.5639e-02
2.2387e+00 2.2387e+00 3.3000e+01 2.5858e-01 1.7782e-01 3.0183e-01 1.2849e-01 1.8479e-01 9.3251e-02 3.0132e-01 5.6326e-02 3.1079e-01 3.0906e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.9165e-01 1.8159e-01 3.3353e-01 1.3683e-01 2.2975e-01 1.0389e-01 2.7316e-01 9.8484e-02 3.1829e-01 3.4195e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.5220e-01 2.6987e-01 3.9992e-01 2.5160e-01 2.1929e-01 7.5872e-02 2.8075e-01 5.4697e-02 3.0526e-01 3.1574e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.1746e-01 1.3228e-01 3.1031e-01 1.3665e-01 1.8866e-01 8.2213e-02 2.5771e-01 8.1093e-02 2.8529e-01 4.4851e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.9356e-01 1.6890e-01 3.4965e-01 1.5437e-01 2.1153e-01 8.5150e-02 3.0275e-01 6.9889e-02 3.1332e-01 3.3821e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.3041e-01 1.2411e-01 3.2526e-01 7.9068e-02 1.8816e-01 9.5639e-02 2.8270e-01 1.7540e-02 2.8272e-01 3.2483e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.6736e-01 1.8285e-01 3.0073e-01 1.6582e-01 1.9512e-01 9.2947e-02 2.5803e-01 6.1587e-02 3.1245e-01 3.1598e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.0866e-01 7.4629e-02 3.0607e-01 1.0740e-02 1.9053e-01 7.6734e-02 3.0602e-01 5.6501e-02 3.0157e-01 2.8479e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.0252e-01 1.1371e-01 3.0584e-01 6.3087e-02 1.9428e-01 9.1918e-02 3.0571e-01 7.2751e-02 2.9969e-01 3.9869e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.1693e-01 2.3302e-01 3.8476e-01 2.0835e-01 1.8731e-01 8.5206e-02 2.5366e-01 6.6730e-02 2.9959e-01 3.8756e-02
2.5119e+00 2.5119e+00 3.2000e+01 2.1275e-01 1.0514e-01 3.0478e-01 6.8821e-02 1.8520e-01 8.3654e-02 3.0467e-01 7.2972e-02 2.9257e-01 2.5184e-02
2.8184e+00 2.8184e+00 3.1000e+01 2.4834e-01 9.3940e-02 2.7812e-01 5.8298e-02 2.2110e-01 8.3958e-02 2.7587e-01 5.6464e-02 3.1758e-01 4.0229e-02
2.8184e+00 2.8184e+00 3.1000e+01 2.6114e-01 1.9781e-01 3.3490e-01 1.6965e-01 1.9609e-01 7.9851e-02 3.0004e-01 6.7342e-02 2.9050e-01 3.6973e-02
2.8184e+00 2.8184e+00 3.1000e+01 2.2403e-01 9.7166e-02 3.0560e-01 1.6627e-02 2.1428e-01 9.8849e-02 3.0581e-01 6.8191e-02 3.2658e-01 2.5474e-02
2.8184e+00 2.8184e+00 3.1000e+01 2.2271e-01 8.9747e-02 3.0515e-01 4.7542e-02 2.0461e-01 6.8107e-02 3.0534e-01 3.9629e-02 3.1578e-01 3.7783e-02
2.8184e+00 2.8184e+00 3.1000e+01 2.3417e-01 1.0735e-01 2.5324e-01 1.6911e-02 2.1757e-01 9.7324e-02 3.0188e-01 6.6897e-02 3.0764e-01 2.6231e-02
2.8184e+00 2.8184e+00 3.1000e+01 2.7603e-01 1.7752e-01 3.4146e-01 1.4942e-01 2.1631e-01 8.0671e-02 3.0338e-01 7.1363e-02 3.0717e-01 4.1796e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.6630e-01 2.6021e-01 4.1875e-01 2.2647e-01 2.0900e-01 9.1329e-02 2.9007e-01 6.3888e-02 3.1467e-01 3.3915e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.2406e-01 2.3801e-01 3.7988e-01 2.2278e-01 2.1082e-01 8.4460e-02 3.0593e-01 7.9734e-02 3.0726e-01 3.5067e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.1373e-01 1.8320e-01 3.5765e-01 1.3070e-01 2.1692e-01 8.7333e-02 3.0654e-01 6.1837e-02 3.2624e-01 4.0928e-02
2.8184e+00 2.8184e+00 3.1000e+01 2.4074e-01 1.3614e-01 3.0109e-01 8.7932e-02 2.1396e-01 8.5223e-02 3.0101e-01 5.1565e-02 3.1422e-01 3.0614e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.5379e-01 1.1841e-01 2.7798e-01 5.8989e-02 2.1185e-01 1.0872e-01 2.6136e-01 7.0505e-02 3.0135e-01 3.4425e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.8629e-01 3.2032e-01 4.2070e-01 3.1361e-01 2.2936e-01 1.0926e-01 2.5708e-01 9.2688e-02 3.0941e-01 4.4952e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.5160e-01 1.5276e-01 2.7770e-01 1.3063e-01 2.0632e-01 8.7110e-02 3.0013e-01 7.1368e-02 3.1779e-01 2.7839e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.3479e-01 1.3743e-01 3.0721e-01 7.6293e-02 2.1763e-01 9.4028e-02 3.0700e-01 6.6757e-02 2.9907e-01 3.9969e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.6032e-01 1.3993e-01 3.0432e-01 1.1825e-01 2.2339e-01 7.5911e-02 2.7673e-01 5.4856e-02 3.3390e-01 3.2688e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.6230e-01 1.6677e-01 3.0529e-01 9.2896e-02 2.2366e-01 1.0388e-01 3.0453e-01 9.1247e-02 3.1825e-01 3.8017e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.2586e-01 1.0501e-01 3.0037e-01 6.3562e-02 1.9986e-01 7.9923e-02 3.0036e-01 5.6690e-02 3.0614e-01 3.3329e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.2877e-01 2.1706e-01 3.5744e-01 1.9512e-01 2.3056e-01 9.9393e-02 2.8084e-01 7.6091e-02 3.2982e-01 3.2322e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.8688e-01 2.9370e-01 4.5322e-01 2.7597e-01 1.8934e-01 8.6003e-02 3.0583e-01 7.3956e-02 3.1361e-01 3.5151e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.2426e-01 1.2039e-01 3.0525e-01 8.0897e-02 2.0136e-01 9.1082e-02 3.0518e-01 7.7172e-02 3.0063e-01 2.5694e-02
3.5481e+00 3.5481e+00 2.9000e+01 2.8028e-01 1.9286e-01 3.0396e-01 1.3604e-01 2.3002e-01 1.1173e-01 2.5901e-01 1.6717e-02 3.2548e-01 2.1189e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.0037e-01 2.1148e-01 3.3872e-01 1.5326e-01 2.4446e-01 9.3205e-02 2.9861e-01 8.7294e-02 3.3066e-01 3.5300e-02
3.5481e+00 3.5481e+00 2.9000e+01 2.7403e-01 1.3534e-01 3.4054e-01 8.3916e-02 2.4461e-01 9.8885e-02 2.5358e-01 7.5982e-02 3.3911e-01 2.2664e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.2419e-01 2.2347e-01 3.7458e-01 1.9375e-01 2.1358e-01 8.8349e-02 2.5746e-01 7.5641e-02 3.0609e-01 3.1484e-02
